submission_id,purchase
8dpXyx,Specialty coffee shop
6dQgAY,Specialty coffee shop
0EjKGN,Local cafe
0EjKGN,Specialty coffee shop
5dqJoM,Specialty coffee shop
5dqJoM,"National chain (e.g. Starbucks, Dunkin)"
5dqJoM,Local cafe
7d9yy6,"National chain (e.g. Starbucks, Dunkin)"
7d9yy6,Specialty coffee shop
ylqB1g,Specialty coffee shop
ylqB1g,"National chain (e.g. Starbucks, Dunkin)"
ylqB1g,Local cafe
GrBMKZ,Specialty coffee shop
GrBMKZ,"National chain (e.g. Starbucks, Dunkin)"
GrBMKZ,Local cafe
5dqJYM,"National chain (e.g. Starbucks, Dunkin)"
5dqJYM,Local cafe
5dqJYM,Drive-thru
5dqJYM,Specialty coffee shop
MAdWMA,Local cafe
MAdWMA,Specialty coffee shop
OAB6OM,Specialty coffee shop
BGbvpQ,Local cafe
DVvLzq,Local cafe
DVvLzq,Specialty coffee shop
24x2LA,Other
24x2LA,Deli or supermarket
24x2LA,Local cafe
lNlp2B,Drive-thru
lNlp2B,Local cafe
lNlp2B,"National chain (e.g. Starbucks, Dunkin)"
EPbp2o,Drive-thru
zKQVV8,Specialty coffee shop
9dJVXE,Specialty coffee shop
g5N2AO,"National chain (e.g. Starbucks, Dunkin)"
g5N2AO,Local cafe
XeBX9e,Specialty coffee shop
oAVWQN,Specialty coffee shop
oAVWQN,Local cafe
oAVWQN,Deli or supermarket
6dQoVo,Local cafe
6dQoVo,Specialty coffee shop
6dQoVo,"National chain (e.g. Starbucks, Dunkin)"
24xpWb,Specialty coffee shop
OAB6ER,Specialty coffee shop
OAB6ER,Local cafe
1r28gg,Other
1r28gg,Specialty coffee shop
EPbyLB,Specialty coffee shop
EPbyLB,"National chain (e.g. Starbucks, Dunkin)"
GrB8Qo,Deli or supermarket
EPbyvX,Local cafe
xdNO19,"National chain (e.g. Starbucks, Dunkin)"
xdNOWd,Specialty coffee shop
xdNOWd,"National chain (e.g. Starbucks, Dunkin)"
QABP67,Local cafe
QABP67,"National chain (e.g. Starbucks, Dunkin)"
6dQaoJ,Specialty coffee shop
6dQaoJ,Local cafe
