submission_id,additions,additions_other
aBrpkB,dairy alternative,NULL
aBrpkB,or coffee creamer,NULL
vNx8g0,Milk,NULL
vNx8g0,dairy alternative,NULL
vNx8g0,or coffee creamer,NULL
NAB2Ol,Milk,Salt
NAB2Ol,dairy alternative,Salt
NAB2Ol,or coffee creamer,Salt
NAB2Ol,Flavor syrup,Salt
NAB2Ol,Other,Salt
GrBObk,No - just black,NULL
kYR8x1,Milk,NULL
kYR8x1,dairy alternative,NULL
kYR8x1,or coffee creamer,NULL
kYR8x1,Sugar or sweetener,NULL
g5N8z4,Milk,NULL
g5N8z4,dairy alternative,NULL
g5N8z4,or coffee creamer,NULL
g5N8z4,Sugar or sweetener,NULL
g5N8z4,Flavor syrup,NULL
lNl8zv,No - just black,NULL
lNl8zv,Milk,NULL
lNl8zv,dairy alternative,NULL
lNl8zv,or coffee creamer,NULL
jB98z4,No - just black,NULL
RzBqVj,No - just black,NULL
BGbJ6Q,No - just black,NULL
5dqagd,No - just black,NULL
QABN8Y,Milk,NULL
QABN8Y,dairy alternative,NULL
QABN8Y,or coffee creamer,NULL
QABN8Y,Sugar or sweetener,NULL
QABN8Y,Flavor syrup,NULL
24x9o9,Milk,NULL
24x9o9,dairy alternative,NULL
24x9o9,or coffee creamer,NULL
BGbJ9Q,No - just black,NULL
BGbJ9Q,Milk,NULL
BGbJ9Q,dairy alternative,NULL
BGbJ9Q,or coffee creamer,NULL
PABZrV,No - just black,NULL
lNl84k,No - just black,NULL
lNl84k,Milk,NULL
lNl84k,dairy alternative,NULL
lNl84k,or coffee creamer,NULL
rlr8YR,No - just black,NULL
zKQ8L0,No - just black,NULL
NAB2El,Milk,NULL
NAB2El,dairy alternative,NULL
NAB2El,or coffee creamer,NULL
9dJAMV,No - just black,NULL
9dJAMV,Milk,NULL
9dJAMV,dairy alternative,NULL
9dJAMV,or coffee creamer,NULL
YZz79J,Milk,NULL
YZz79J,dairy alternative,NULL
YZz79J,or coffee creamer,NULL
5dqaod,Milk,NULL
5dqaod,dairy alternative,NULL
5dqaod,or coffee creamer,NULL
5dqaod,Sugar or sweetener,NULL
GrBOgp,Milk,NULL
GrBOgp,dairy alternative,NULL
GrBOgp,or coffee creamer,NULL
dY2Jgo,No - just black,NULL
AlbMAe,No - just black,NULL
XeB6d4,No - just black,NULL
QABNX8,Milk,NULL
QABNX8,dairy alternative,NULL
QABNX8,or coffee creamer,NULL
1r2QBp,No - just black,NULL
VZ1WY6,No - just black,NULL
LdM4Vv,No - just black,NULL
6dQ6MJ,No - just black,NULL
oAV8vx,No - just black,NULL
oAV8gP,Milk,NULL
oAV8gP,dairy alternative,NULL
oAV8gP,or coffee creamer,NULL
EPboJ2,Flavor syrup,NULL
EPboJ2,Milk,NULL
EPboJ2,dairy alternative,NULL
EPboJ2,or coffee creamer,NULL
