submission_id,additions
pLPpoJ,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
lNlkqv,No - just black
GrBO2O,No - just black
KMBK1A,"Milk, dairy alternative, or coffee creamer"
dY2e9o,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
9dJjQp,No - just black
QABl58,No - just black
BGbWk5,No - just black
24xGPj,"Milk, dairy alternative, or coffee creamer"
0EjRdB,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer, No - just black"
RzByPd,No - just black
RzBq9P,No - just black
PABJ65,"Milk, dairy alternative, or coffee creamer"
oAVLRP,No - just black
24xGPL,No - just black
rlr84L,No - just black
VZ1O0v,"Milk, dairy alternative, or coffee creamer, No - just black"
8dp4xO,"Milk, dairy alternative, or coffee creamer"
bl4QWL,No - just black
qbE1a9,"Milk, dairy alternative, or coffee creamer"
VZ1O5J,No - just black
rlrMPl,"Milk, dairy alternative, or coffee creamer, Flavor syrup"
EPb7XN,"Milk, dairy alternative, or coffee creamer"
dY2e0o,No - just black
lNlkyB,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
BGbJo7,"No - just black, Sugar or sweetener"
xdN5ay,"Flavor syrup, Sugar or sweetener, Milk, dairy alternative, or coffee creamer, No - just black, Other"
GrBAdp,No - just black
BGbWxQ,Sugar or sweetener
MAdpzp,"Milk, dairy alternative, or coffee creamer"
RzBy0J,"No - just black, Milk, dairy alternative, or coffee creamer"
PABJ1e,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer"
XeBPWj,No - just black
g5N6Gl,No - just black
jB9AZJ,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup"
g5N6e4,No - just black
0Ejq9Q,No - just black
