submission_id,brew
WApa4L,"Espresso, Cold brew, Pour over"
lNl8pV,French press
9dJAbX,Pour over
zKQ8A1,"Pod/capsule machine (e.g. Keurig/Nespresso), Coffee extract (e.g. Cometeer), Espresso, Cold brew"
QABNP1,"Coffee extract (e.g. Cometeer), Pour over"
pLPYEE,"Pour over, Cold brew, Other"
GrBOMQ,"Coffee brewing machine (e.g. Mr. Coffee), Pour over"
RzBqpQ,"Pour over, Espresso"
24x9MM,Cold brew
7d9rX0,Pour over
YZz72z,Coffee brewing machine (e.g. Mr. Coffee)
42Nl0b,Espresso
lNl8JX,Espresso
xdN8kd,
VZ1WWE,"Pour over, French press, Cold brew, Other"
bl4QV6,
LdM4xG,Pour over
VZ1OLj,"Pour over, Espresso, Coffee extract (e.g. Cometeer)"
KMBrrk,Pour over
5dqaWQ,"Pour over, Other, Cold brew"
NAB22W,"French press, Espresso"
eBxWZx,"Pour over, Espresso"
OABxOM,Pour over
lNl825,"Espresso, Coffee brewing machine (e.g. Mr. Coffee), Pour over"
EPboy2,"Pour over, Espresso"
LdM48z,Pour over
KMBKYX,"Pour over, French press, Espresso, Other"
NAB21W,"Pod/capsule machine (e.g. Keurig/Nespresso), Espresso"
42NlMo,"Pour over, Other"
BGbJv4,Pour over
rlr8No,Other
24xGEe,French press
lNlkBN,Pour over
eBxWae,Pour over
WApavR,"Espresso, Pour over, French press"
1r2o9p,Espresso
OABM7R,Pour over
aBrqOX,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
qbE1GG,"Pour over, French press"
8dp4aP,Pour over
0EjR7j,"Pour over, French press"
YZz7EN,"Pour over, Other"
OABxRk,"Pour over, Cold brew"
AlbMgN,"Pour over, French press, Other"
lNlk6k,"French press, Other"
OABxWM,"French press, Espresso"
xdN5Yy,Pour over
AlbMYB,"Pour over, French press, Coffee extract (e.g. Cometeer)"
ylq5Jg,
VZ1WRj,"Coffee brewing machine (e.g. Mr. Coffee), Pour over"
jB9Ala,"Pour over, French press, Espresso, Other"
YZzl4B,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
J2kvz4,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)"
oAV8W5,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
oAVLGe,"Pour over, Espresso"
KMBKlA,Espresso
6dQEDY,French press
1r2o7Q,Pour over
1r2oVQ,Pour over
0EjR8y,"Espresso, Pour over"
LdMLzp,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
LdML7p,Espresso
jB9Ab4,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
aBrq4B,
DVv6Nq,"Pour over, Espresso, Cold brew, Coffee brewing machine (e.g. Mr. Coffee)"
DVv6pR,"Coffee brewing machine (e.g. Mr. Coffee), Other"
rlrMON,"Pour over, Coffee extract (e.g. Cometeer), Instant coffee"
g5N6Ml,Other
NAB1oB,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
VZ1Ojy,French press
dY2exq,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
RzByo9,"Pour over, Espresso"
rlrMoN,Espresso
XeBP4g,
DVv6qN,Other
vNx5P0,"Pour over, Espresso, Other"
6dQEZk,"Pour over, Espresso, Other"
qbE1d7,
bl4QeL,"Pour over, Espresso"
PABJ55,Pour over
aBrq9b,Pour over
LdMLPv,Pour over
qbE1VY,"Pour over, Other"
oAVLEx,Pour over
PABJ1V,Coffee brewing machine (e.g. Mr. Coffee)
0EjR6N,"French press, Pod/capsule machine (e.g. Keurig/Nespresso)"
BGbW75,Espresso
8dp4L5,"Espresso, Pour over, Other"
GrBARZ,"Pour over, Other"
rlrMBR,"Pour over, Espresso"
J2kEvY,"Cold brew, Espresso"
GrBAve,"Pour over, French press, Other"
g5N6qO,Coffee brewing machine (e.g. Mr. Coffee)
J2kvOo,"Pour over, Espresso, Bean-to-cup machine, Cold brew"
GrBAlp,"Pour over, Coffee extract (e.g. Cometeer), Cold brew"
7d9r2P,"Espresso, Pour over, French press"
1r2odl,"Pour over, Other"
J2kvdR,Pour over
jB9APx,Pour over
DVv6kZ,Pod/capsule machine (e.g. Keurig/Nespresso)
xdN8Ok,"Coffee extract (e.g. Cometeer), Coffee brewing machine (e.g. Mr. Coffee)"
NAB1qO,"Pour over, Espresso, Cold brew"
GrBA9Z,"Pour over, Espresso"
bl4Qdg,"Coffee extract (e.g. Cometeer), Pour over"
5dqPZo,Pour over
J2kEyz,Espresso
jB98j9,"Pour over, Espresso"
DVv67R,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
QABlV8,Pour over
LdMLpj,"Espresso, French press, Pour over, Coffee extract (e.g. Cometeer)"
42NVrX,"Espresso, Pour over"
VZ1OpM,Other
42NlWr,"Pod/capsule machine (e.g. Keurig/Nespresso), Instant coffee, Coffee brewing machine (e.g. Mr. Coffee)"
KMBKV8,"Pour over, Cold brew"
aBrq6q,"Pour over, Espresso"
oAVLeP,Coffee brewing machine (e.g. Mr. Coffee)
YZzlPW,Other
zKQ5jM,"Pour over, Espresso"
XeBPJY,Coffee brewing machine (e.g. Mr. Coffee)
kYRB61,"Pour over, Espresso, French press"
zKQ5y0,"Pour over, Espresso, Bean-to-cup machine"
RzBy5d,"Espresso, Coffee brewing machine (e.g. Mr. Coffee), Other"
ZdRrNy,"Espresso, Pour over"
6dQE7B,"Espresso, Cold brew, Pour over"
0EjRey,Pour over
QABlDp,Pour over
24xGB9,"Pod/capsule machine (e.g. Keurig/Nespresso), Espresso"
EPb7QX,"Pour over, Espresso, Cold brew"
qbE1AY,Pour over
RzByD9,Pour over
42NVQY,"Pour over, Espresso"
EPb7XX,"Pour over, Other"
Albe2z,"Espresso, French press"
PABJ9V,"Pour over, Other"
rlrM5R,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
kYR8Pj,"Pour over, Espresso, Other"
J2kvqK,Other
J2kv1K,"Pour over, Other"
PABJpB,"Pour over, Cold brew, Other, French press"
EPb7l4,"French press, Espresso"
XeBP0j,"Pour over, Espresso"
vNx5Yv,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
NAB1WB,Pour over
42NV8k,"Pour over, Espresso"
VZ1OQg,Espresso
LdMLWj,"Pour over, Cold brew"
LdMLKv,French press
zKQ5Ya,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)"
pLPpoJ,"Espresso, Pour over"
